,alpha,L,beta_factor,rho0,poltime_mode,poltime_dscore
9903,15.0,3.948717948717949,0.5,0.4,50.0501,30.03
9904,15.0,3.948717948717949,0.5,0.4,60.0601,40.04
9905,15.0,3.948717948717949,0.5,0.4,55.0551,35.035
9906,15.0,3.948717948717949,0.5,0.4,45.045,25.025
9907,15.0,3.948717948717949,0.5,0.4,40.04,20.02
9908,15.0,3.948717948717949,0.5,0.4,45.045,25.025
9909,15.0,3.948717948717949,0.5,0.4,50.0501,30.03
9910,15.0,3.948717948717949,0.5,0.4,60.0601,35.035
9911,15.0,3.948717948717949,0.5,0.4,135.1351,115.1151
9912,15.0,3.948717948717949,0.5,0.4,35.035,15.015
9913,15.0,3.948717948717949,0.5,0.4,75.0751,60.0601
9914,15.0,3.948717948717949,0.5,0.4,130.1301,105.1051
9915,15.0,3.948717948717949,0.5,0.4,55.0551,35.035
9916,15.0,3.948717948717949,0.5,0.4,100.1001,75.0751
9917,15.0,3.948717948717949,0.5,0.4,50.0501,35.035
9918,15.0,3.948717948717949,0.5,0.4,90.0901,70.0701
9919,15.0,3.948717948717949,0.5,0.4,90.0901,70.0701
9920,15.0,3.948717948717949,0.5,0.4,165.1652,145.1451
9921,15.0,3.948717948717949,0.5,0.4,55.0551,35.035
9922,15.0,3.948717948717949,0.5,0.4,90.0901,70.0701
9923,15.0,3.948717948717949,0.5,0.4,110.1101,95.0951
9924,15.0,3.948717948717949,0.5,0.4,45.045,25.025
9925,15.0,3.948717948717949,0.5,0.4,70.0701,50.0501
9926,15.0,3.948717948717949,0.5,0.4,95.0951,75.0751
9927,15.0,3.948717948717949,0.5,0.4,55.0551,35.035
9928,15.0,3.948717948717949,0.5,0.4,60.0601,40.04
9929,15.0,3.948717948717949,0.5,0.4,55.0551,35.035
9930,15.0,3.948717948717949,0.5,0.4,55.0551,40.04
9931,15.0,3.948717948717949,0.5,0.4,80.0801,60.0601
